Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
ADDYY,104.54,2017/12/05,15:59 EST,-0.22000122,0.0,0.0,0.0,0,,,,,,,
AMZN,1141.57,2017/12/05,16:00 EST,7.619995,1128.26,1159.27,1124.74,4079774,,,,,,,
BABA,168.96,2017/12/05,16:00 EST,-0.6199951,165.28,172.96,164.25,31609904,,,,,,,
BBY,61.98,2017/12/05,16:02 EST,-0.5699997,62.49,62.69,61.54,3552452,,,,,,,
COST,187.82,2017/12/05,16:00 EST,-1.7399902,189.67,191.22,186.85,3182807,,,,,,,
DLTR,105.89,2017/12/05,16:00 EST,-0.48000336,106.26,106.94,104.78,2015152,,,,,,,
ETSY,18.19,2017/12/05,16:00 EST,0.2800007,17.8,18.5,17.655,4200271,,,,,,,
FL,43.4,2017/12/05,16:03 EST,-2.3599968,45.58,45.58,43.0,5042650,,,,,,,
GOOS,27.6,2017/12/05,16:02 EST,0.19000053,27.4,27.75,27.13,647639,,,,,,,
GPS,33.32,2017/12/05,16:02 EST,-0.77000046,33.87,33.94,32.81,6667448,,,,,,,
GRPN,5.71,2017/12/05,16:00 EST,-0.01999998,5.7,5.76,5.645,5873563,,,,,,,
HBC.TO,11.9,2017/12/05,16:00 EST,0.14999962,11.75,11.95,11.71,222182,,,,,,,
HD,182.85,2017/12/05,16:00 EST,-2.0499878,184.79,184.91,182.2589,6347568,,,,,,,
JCP,3.3,2017/12/05,16:01 EST,-0.10000014,3.48,3.482,3.25,12550646,,,,,,,
JD,37.3,2017/12/05,16:00 EST,0.54999924,36.04,37.6299,35.81,16057285,,,,,,,
JWN,46.15,2017/12/05,16:01 EST,-1.1099968,47.19,47.19,45.62,2109495,,,,,,,
LOW,86.31,2017/12/05,16:01 EST,-1.7300034,88.03,88.55,86.28,9666048,,,,,,,
LULU,66.36,2017/12/05,16:00 EST,-0.8600006,67.03,67.45,65.3,1859486,,,,,,,
M,25.22,2017/12/05,16:01 EST,-0.5799999,25.8,25.84,24.76,16185571,,,,,,,
NKE,60.42,2017/12/05,16:00 EST,0.3199997,60.65,60.8,59.65,8862852,,,,,,,
ODP,3.27,2017/12/05,16:00 EST,-0.099999905,3.37,3.38,3.21,5538011,,,,,,,
SHOP,95.28,2017/12/05,16:02 EST,-1.340004,95.3,98.58,92.4101,2454541,,,,,,,
TGT,62.2,2017/12/05,16:02 EST,-0.3600006,62.39,62.48,60.45,8184257,,,,,,,
UA,11.72,2017/12/05,16:02 EST,-0.25999928,12.02,12.08,11.6625,3007107,,,,,,,
UAA,13.01,2017/12/05,16:04 EST,-0.34000015,13.38,13.45,12.99,3311401,,,,,,,
VFC,70.39,2017/12/05,16:00 EST,-0.83000183,71.38,71.47,70.34,3209768,,,,,,,
W,72.58,2017/12/05,16:01 EST,0.6800003,71.86,73.79,70.69,728894,,,,,,,
WIX,52.2,2017/12/05,16:00 EST,-0.14999771,52.2,54.1,52.05,763518,,,,,,,
WMT,97.83,2017/12/05,16:00 EST,0.8199997,97.0,97.94,96.92,9010067,,,,,,,
XRT,44.08,2017/12/05,16:00 EST,-0.43999863,44.67,44.64,43.99,8713096,,,,,,,
